,accuracy,val_accuracy,loss,val_loss
0,0.5243695974349976,0.5359340906143188,1.1164281368255615,1.1121655702590942
1,0.6412140727043152,0.5913228988647461,0.8608144521713257,1.037753701210022
2,0.6854774355888367,0.626824676990509,0.7697687149047852,0.9449436664581299
3,0.7166181206703186,0.660647988319397,0.7067127823829651,0.8265832662582397
4,0.7576262354850769,0.7466049790382385,0.6167266964912415,0.7265662550926208
5,0.7857406139373779,0.7360256314277649,0.5547118186950684,0.7386369109153748
6,0.8061619997024536,0.7337368130683899,0.5092489719390869,0.6325656175613403
7,0.82548987865448,0.807029128074646,0.46210911870002747,0.5243192911148071
8,0.8435461521148682,0.8572300672531128,0.4166060984134674,0.4023263454437256
9,0.8175171613693237,0.8124205470085144,0.4834146797657013,0.4691844582557678
10,0.854672372341156,0.8413102030754089,0.39193424582481384,0.4477829933166504
11,0.8624289631843567,0.859213650226593,0.3733110725879669,0.3721240162849426
12,0.8596569299697876,0.8289507031440735,0.3792237639427185,0.46894893050193787
13,0.8732373118400574,0.7865316867828369,0.3460407555103302,0.6757507920265198
14,0.8808412551879883,0.8129799962043762,0.31800252199172974,0.5043081045150757
15,0.8902890086174011,0.9040740728378296,0.2967543601989746,0.266116201877594
16,0.8917640447616577,0.8723360896110535,0.29284989833831787,0.34016910195350647
17,0.8999148011207581,0.9097706079483032,0.27151963114738464,0.25820720195770264
18,0.8924506902694702,0.9169421792030334,0.2909853756427765,0.23164662718772888
19,0.8867031931877136,0.8710645437240601,0.3135739862918854,0.311217725276947
20,0.9013262391090393,0.894105076789856,0.2696862816810608,0.29318031668663025
21,0.9080274105072021,0.8874930143356323,0.2476438730955124,0.30933091044425964
22,0.9107739925384521,0.8980214595794678,0.24349738657474518,0.294603168964386
23,0.9009702205657959,0.7647626996040344,0.27339819073677063,0.8191288113594055
24,0.9063616394996643,0.914297342300415,0.2521076202392578,0.23138627409934998
25,0.915644109249115,0.91200852394104,0.22920900583267212,0.23138947784900665
26,0.92251056432724,0.8872895836830139,0.21276608109474182,0.325348436832428
27,0.9000292420387268,0.8438024520874023,0.2764142155647278,0.46336308121681213
28,0.918695867061615,0.9028533697128296,0.2209566980600357,0.2783249318599701
